,QUADRANT,MIN_LONG,MAX_LONG,MIN_LAT,MAX_LAT,MID_LAT,MID_LONG,NUM_PROPS,NUM_CRIMES,DIST_STATION,NUM_PEOPLE,CRIME_RATE
1967,1967,-71.12034594,-71.11650276,42.35546688,42.35875864,42.35711276,-71.11842435,4,0,1.739477669128059,617,0.0
1968,1968,-71.11650276,-71.11265958,42.35546688,42.35875864,42.35711276,-71.11458117000001,0,0,1.9263689372289692,660,0.0
1969,1969,-71.11265958,-71.10881640000001,42.35546688,42.35875864,42.35711276,-71.11073799,0,0,1.8664657601002541,636,0.0
1970,1970,-71.10881640000001,-71.10497322,42.35546688,42.35875864,42.35711276,-71.10689481,0,0,1.6772096521107263,224,0.0
1971,1971,-71.10497322,-71.10113004,42.35546688,42.35875864,42.35711276,-71.10305163000001,0,0,1.4897761139314087,963,0.0
1972,1972,-71.10113004,-71.09728686,42.35546688,42.35875864,42.35711276,-71.09920844999999,0,0,1.3049507230886686,1053,0.0
1973,1973,-71.09728686,-71.09344368000001,42.35546688,42.35875864,42.35711276,-71.09536527,0,0,1.1240208091905672,167,0.0
1974,1974,-71.09344368000001,-71.0896005,42.35546688,42.35875864,42.35711276,-71.09152209000001,0,0,0.9492165408662482,573,0.0
1975,1975,-71.0896005,-71.08575732,42.35546688,42.35875864,42.35711276,-71.08767891,0,70,0.7846427051092487,923,0.07583965330444203
1976,1976,-71.08575732,-71.08191414000001,42.35546688,42.35875864,42.35711276,-71.08383573,0,887,0.6382626250012664,843,1.0521945432977462
1977,1977,-71.08191414000001,-71.07807096,42.35546688,42.35875864,42.35711276,-71.07999255000001,0,740,0.5255064755084987,170,4.352941176470588
1978,1978,-71.07807096,-71.07422778,42.35546688,42.35875864,42.35711276,-71.07614937,0,9854,0.47116643168025424,973,10.127440904419322
1979,1979,-71.07422778,-71.0703846,42.35546688,42.35875864,42.35711276,-71.07230619,384,1763,0.49487516604013354,727,2.4250343878954608
1980,1980,-71.0703846,-71.06654142000001,42.35546688,42.35875864,42.35711276,-71.06846301,1157,822,0.52511192368765,591,1.3908629441624365
1981,1981,-71.06654142000001,-71.06269824,42.35546688,42.35875864,42.35711276,-71.06461983,849,46,0.38449321671595565,159,0.2893081761006289
1982,1982,-71.06269824,-71.05885506,42.35546688,42.35875864,42.35711276,-71.06077665000001,109,0,0.31141061969602873,185,0.0
1983,1983,-71.05885506,-71.05501188000001,42.35546688,42.35875864,42.35711276,-71.05693347,8731,0,0.35095181185276036,557,0.0
1984,1984,-71.05501188000001,-71.0511687,42.35546688,42.35875864,42.35711276,-71.05309029,194,0,0.47582224981882526,170,0.0
1985,1985,-71.0511687,-71.04732552,42.35546688,42.35875864,42.35711276,-71.04924711000001,25,0,0.6377268214657897,115,0.0
1986,1986,-71.04732552,-71.04348234,42.35546688,42.35875864,42.35711276,-71.04540392999999,0,0,0.8148823460060397,141,0.0
1987,1987,-71.04348234,-71.03963916000001,42.35546688,42.35875864,42.35711276,-71.04156075,0,12,0.976519459441508,0,inf
1988,1988,-71.03963916000001,-71.03579598,42.35546688,42.35875864,42.35711276,-71.03771757000001,0,0,0.9690451833288704,0,inf
1989,1989,-71.03579598,-71.0319528,42.35546688,42.35875864,42.35711276,-71.03387439,0,0,1.0007718330563333,0,inf
1990,1990,-71.0319528,-71.02810962,42.35546688,42.35875864,42.35711276,-71.03003121,0,0,1.0682122224856114,0,inf
1991,1991,-71.02810962,-71.02426644,42.35546688,42.35875864,42.35711276,-71.02618803,0,0,1.1651814528517348,0,inf
1992,1992,-71.02426644,-71.02042326,42.35546688,42.35875864,42.35711276,-71.02234485,0,0,1.2850119325286495,39,0.0
1993,1993,-71.02042326,-71.01658008,42.35546688,42.35875864,42.35711276,-71.01850167,0,0,1.4219356194873494,0,inf
1994,1994,-71.01658008,-71.01273690000001,42.35546688,42.35875864,42.35711276,-71.01465849,0,0,1.5714908621094934,0,inf
1995,1995,-71.01273690000001,-71.00889372,42.35546688,42.35875864,42.35711276,-71.01081531,0,0,1.7304055955448414,0,inf
1996,1996,-71.00889372,-71.00505054,42.35546688,42.35875864,42.35711276,-71.00697213000001,0,0,1.896328269942094,0,inf
1997,1997,-71.00505054,-71.00120736,42.35546688,42.35875864,42.35711276,-71.00312894999999,0,0,2.067572410116207,0,inf
1998,1998,-71.00120736,-70.99736418,42.35546688,42.35875864,42.35711276,-70.99928577,0,0,2.24291948381405,0,inf
1999,1999,-70.99736418,-70.993521,42.35875864,42.3620504,42.36040452,-70.99544259000001,0,0,2.33987216143025,0,inf
2000,2000,-71.18568,-71.18183682,42.35875864,42.3620504,42.36040452,-71.18375841,0,0,1.864404874372454,0,inf
2001,2001,-71.18183682,-71.17799364000001,42.35875864,42.3620504,42.36040452,-71.17991523,0,0,1.6885073173211627,0,inf
2002,2002,-71.17799364000001,-71.17415046,42.35875864,42.3620504,42.36040452,-71.17607205000002,0,0,1.5176194583035851,0,inf
2003,2003,-71.17415046,-71.17030728,42.35875864,42.3620504,42.36040452,-71.17222887,0,0,1.3536399508153092,0,inf
2004,2004,-71.17030728,-71.1664641,42.35875864,42.3620504,42.36040452,-71.16838569000001,0,0,1.1994056214113191,2563,0.0
2005,2005,-71.1664641,-71.16262092000001,42.35875864,42.3620504,42.36040452,-71.16454251,0,0,1.059182236873144,257,0.0
2006,2006,-71.16262092000001,-71.15877774,42.35875864,42.3620504,42.36040452,-71.16069933,0,0,0.9392659976644987,0,inf
2007,2007,-71.15877774,-71.15493456,42.35875864,42.3620504,42.36040452,-71.15685615000001,0,0,0.8483128281875272,502,0.0
2008,2008,-71.15493456,-71.15109138000001,42.35875864,42.3620504,42.36040452,-71.15301297,0,31,0.7963096930984876,0,inf
2009,2009,-71.15109138000001,-71.1472482,42.35875864,42.3620504,42.36040452,-71.14916979,0,70,0.7909766388268689,0,inf
2010,2010,-71.1472482,-71.14340502,42.35875864,42.3620504,42.36040452,-71.14532661000001,3,178,0.8332102945982022,0,inf
2011,2011,-71.14340502,-71.13956184,42.35875864,42.3620504,42.36040452,-71.14148343,21,86,0.9164579567753662,306,0.28104575163398693
2012,2012,-71.13956184,-71.13571866000001,42.35875864,42.3620504,42.36040452,-71.13764025,13,37,1.0308304489988087,0,inf
2013,2013,-71.13571866000001,-71.13187548,42.35875864,42.3620504,42.36040452,-71.13379707000001,90,26,1.1672138091319217,59,0.4406779661016949
2014,2014,-71.13187548,-71.1280323,42.35875864,42.3620504,42.36040452,-71.12995389,28,28,1.318796866727756,512,0.0546875
